date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:18	15767/15767	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2006:00:18%20GMT	https://ruin.lol/a	C:/My%20Web%20Sites/a/ruin.lol/a.html	(from )
01:00:18	1032/1032	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2006:00:19%20GMT	https://ruin.lol/robots.txt		(from )
01:00:18	4109/4109	---M-Z	200	added ('OK')	text/css	etag:%22100d-61a43ca4c54b9-gzip%22	https://ruin.lol/src/bio2.css?1719295218	C:/My%20Web%20Sites/a/ruin.lol/src/bio2e2a1.css	(from https://ruin.lol/a)
01:00:19	1918742/1918742	---M--	200	added ('OK')	image/gif	etag:%2289422975d8a37ee8225bcd81006b5c49%22	https://r2.ruin.lol/YL9xAD0tGoLGwsqy.gif	C:/My%20Web%20Sites/a/r2.ruin.lol/YL9xAD0tGoLGwsqy.gif	(from https://ruin.lol/a)
01:00:19	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:%2264ed75bb-76fe%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	C:/My%20Web%20Sites/a/cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://ruin.lol/a)
01:00:19	5251/5251	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffe-1483%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.js	C:/My%20Web%20Sites/a/cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.js	(from https://ruin.lol/a)
01:00:19	55139/55139	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d763-3k9IIExUySw/kvIDnHJn5mghCss%22	https://cdn.jsdelivr.net/gh/StephanWagner/jBox@v1.3.2/dist/jBox.all.min.js	C:/My%20Web%20Sites/a/cdn.jsdelivr.net/gh/StephanWagner/jBox@v1.3.2/dist/jBox.all.min.js	(from https://ruin.lol/a)
01:00:20	22960/22960	---M-Z	200	added ('OK')	text/css	etag:%2259b0-617b4aa937c87-gzip%22	https://ruin.lol/src/tooltips.css	C:/My%20Web%20Sites/a/ruin.lol/src/tooltips.css	(from https://ruin.lol/a)
01:00:20	850/850	---M-Z	200	added ('OK')	text/javascript	etag:%22352-617b4aaab272d-gzip%22	https://ruin.lol/src/js/bio.js?1719295218	C:/My%20Web%20Sites/a/ruin.lol/src/js/bioe2a1.js	(from https://ruin.lol/a)
01:00:20	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jun%202024%2006:00:21%20GMT	https://ruin.lol/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/a/ruin.lol/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://ruin.lol/a)
01:00:21	7826/7826	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2025%20Jun%202024%2006:00:22%20GMT	https://ruin.lol/cdn-cgi/challenge-platform/h/b/scripts/jsd/c7e29c8c8b6e/main.js	C:/My%20Web%20Sites/a/ruin.lol/cdn-cgi/challenge-platform/h/b/scripts/jsd/c7e29c8c8b6e/main.js	(from https://ruin.lol/a)
